region,area,candidate_rank,complex_name,api_name,lawd_cd,build_year,households,walk_station_min,nearest_station,elementary_school,middle_school,commute_eulji_min,priority,screening,note,source_url,static_data_status
서울,창신·숭인,2,창신쌍용1,창신쌍용1,11110,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,창신·숭인,3,창신쌍용2,창신쌍용2,11110,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,창신·숭인,4,종로센트레빌,종로센트레빌,11110,2008.0,416.0,2.0,창신,숭신초,한성여중,20.0,관찰,TOP 후보,416세대로 500세대 기준 미달. 입지 비교가치 때문에 예외 관찰 후보로 유지.,,기초검증
서울,이문·신이문,1,대림e편한세상,대림e편한세상,11230,2003.0,1378.0,6.0,신이문,이문초,경희중,35.0,핵심,TOP 후보,TARGET권 핵심 후보,,기초검증
서울,이문·신이문,2,래미안라그란데,래미안라그란데,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,이문·신이문,3,이문아이파크자이,이문아이파크자이,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,이문·신이문,4,이문쌍용,이문쌍용,11230,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,봉천·서울대입구,1,관악드림타운,관악드림타운,11620,2003.0,3544.0,18.0,봉천,구암초,구암중,40.0,핵심,TOP 후보,TARGET 경계,,기초검증
서울,봉천·서울대입구,2,봉천우성,봉천우성,11620,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,봉천·서울대입구,3,e편한세상서울대입구1단지,e편한세상서울대입구1단지,11620,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,봉천·서울대입구,4,관악벽산블루밍1차,관악벽산블루밍1차,11620,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,봉천·서울대입구,5,서울대입구아이원,서울대입구아이원,11620,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,등촌,1,등촌아이파크,등촌아이파크,11500,2004.0,1653.0,12.0,등촌,등촌초,백석중,35.0,핵심,TOP 후보,TARGET 경계,,기초검증
서울,등촌,2,등촌주공5단지,등촌주공5단지,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,등촌,3,등촌주공6단지,등촌주공6단지,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,등촌,4,등촌동부센트레빌,등촌동부센트레빌,11500,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,등촌,5,등촌대림,등촌대림,11500,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,홍제,1,홍제원현대,홍제원현대,11410,2000.0,939.0,,,인왕초,인왕중,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,홍제,2,홍제한양,홍제한양,11410,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,홍제,3,홍제현대,홍제현대,11410,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,홍제,4,인왕산현대,인왕산현대,11410,2000.0,700.0,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,홍제,5,청구1차,청구1차,11410,1994.0,862.0,12.0,홍제,인왕초,인왕중,30.0,핵심,TOP 후보,TARGET 중심 변동,,기초검증
서울,장안·장한평,1,장안현대홈타운1차,장안현대홈타운1차,11230,2003.0,2182.0,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,장안·장한평,2,장안삼성래미안2차,장안삼성래미안2차,11230,,1786.0,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,장안·장한평,3,장안힐스테이트,장안힐스테이트,11230,,859.0,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,장안·장한평,4,장안삼성래미안1차,장안삼성래미안1차,11230,,558.0,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,장안·장한평,5,장안삼성쉐르빌,장안삼성쉐르빌,11230,,540.0,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,가양,1,강나루현대,강나루현대,11500,1999.0,642.0,4.0,가양,가양초,등원중,40.0,관찰,TOP 후보,MAX 근접,,기초검증
서울,가양,2,강서한강자이,강서한강자이,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,가양,3,가양우성,가양우성,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신대방·보라매,1,보라매파크빌,보라매파크빌,11590,2002.0,423.0,7.0,보라매,대방초,대방중,35.0,관찰,TOP 후보,세대수 기준 재검증 필요,,기초검증
서울,신대방·보라매,2,신대방현대,신대방현대,11590,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신대방·보라매,3,보라매자이더포레스트,보라매자이더포레스트,11590,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신대방·보라매,4,롯데낙천대,롯데낙천대,11590,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신대방·보라매,5,신대방경남교수,신대방경남교수,11590,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,발산·마곡,1,마곡수명산파크1단지,마곡수명산파크1단지,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,발산·마곡,2,마곡수명산파크2단지,마곡수명산파크2단지,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,발산·마곡,3,마곡수명산파크3단지,마곡수명산파크3단지,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,발산·마곡,4,마곡수명산파크4단지,마곡수명산파크4단지,11500,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,발산·마곡,5,마곡수명산파크7단지,마곡수명산파크7단지,11500,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,암사·천호,1,선사현대,선사현대,11740,2000.0,2938.0,6.0,암사,선사초,신암중,40.0,보류,TOP 후보,84급 예산 초과,,기초검증
서울,암사·천호,2,강동롯데캐슬퍼스트,강동롯데캐슬퍼스트,11740,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,암사·천호,3,프라이어팰리스,프라이어팰리스,11740,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,암사·천호,4,래미안강동팰리스,래미안강동팰리스,11740,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,답십리,1,래미안위브,래미안위브,11230,2014.0,2652.0,12.0,답십리,답십리초,전농중,30.0,보류,TOP 후보,74㎡ 재검사 필요,,기초검증
서울,답십리,2,답십리파크자이,답십리파크자이,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,답십리,3,힐스테이트청계,힐스테이트청계,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,답십리,4,답십리두산위브,답십리두산위브,11230,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,답십리,5,청계한신휴플러스,청계한신휴플러스,11230,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,청량리·전농,1,래미안크레시티,래미안크레시티,11230,2014.0,2397.0,15.0,청량리,전농초,전농중,30.0,보류,TOP 후보,74㎡ 재검사 필요,,기초검증
서울,청량리·전농,2,전농SK,전농SK,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,청량리·전농,3,래미안아름숲,래미안아름숲,11230,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,청량리·전농,4,청량리역롯데캐슬SKY-L65,청량리역롯데캐슬SKY-L65,11230,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,청량리·전농,5,청량리역한양수자인그라시엘,청량리역한양수자인그라시엘,11230,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신정,1,목동힐스테이트,목동힐스테이트,11470,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신정,2,신트리1단지,신트리1단지,11470,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신정,3,신트리4단지,신트리4단지,11470,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신정,4,목동신시가지13단지,목동신시가지13단지,11470,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신정,5,목동신시가지12단지,목동신시가지12단지,11470,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,염창,1,염창동아3차,염창동아3차,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,염창,2,염창현대1차,염창현대1차,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,염창,3,e편한세상염창,e편한세상염창,11500,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,염창,4,강변힐스테이트,강변힐스테이트,11500,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,상도,1,상도더샵1차,상도더샵1차,11590,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,상도,2,상도두산위브트레지움,상도두산위브트레지움,11590,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,상도,3,e편한세상상도노빌리티,e편한세상상도노빌리티,11590,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,상도,4,상도역롯데캐슬파크엘,상도역롯데캐슬파크엘,11590,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,상도,5,래미안상도3차,래미안상도3차,11590,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,성복,1,성복역아이파크,성복역아이파크,41465,2012.0,584.0,9.0,성복,성복초,성복중,55.0,핵심,TOP 후보,신분당선 접근,,기초검증
경기남부,성복,2,성복역롯데캐슬골드타운,성복역롯데캐슬골드타운,41465,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,성복,3,성복자이1차,성복자이1차,41465,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,성복,4,성복자이2차,성복자이2차,41465,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,성복,5,버들치마을경남아너스빌1차,버들치마을경남아너스빌1차,41465,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,수지구청,1,현대,현대,41465,1994.0,1168.0,7.0,수지구청,토월초,문정중,50.0,핵심,조건충족,"전용 84㎡·수지구청역 도보권. 구축·주차는 감점, 학원가/생활편의 강점.",https://zippoom.com/%EB%B6%80%EB%8F%99%EC%82%B0/%EA%B2%BD%EA%B8%B0-%EC%9A%A9%EC%9D%B8%EC%8B%9C-%EC%88%98%EC%A7%80%EA%B5%AC-%ED%92%8D%EB%8D%95%EC%B2%9C%EB%8F%99-%ED%98%84%EB%8C%80%EC%95%84%ED%8C%8C%ED%8A%B8/tf1tl3,기초검증
경기남부,수지구청,2,진산마을삼성5차,진산마을삼성5차,41465,2001.0,611.0,13.0,수지구청,풍천초,이현중,55.0,핵심,조건충족,전용 84㎡·대단지·풍천초 인접. 역은 현대보다 멀지만 단지/학군 균형이 좋음.,https://m.richgo.ai/realty/danji/a4skJfn,기초검증
경기남부,수지구청,3,e편한세상수지,e편한세상수지,41465,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,수지구청,4,신정마을9단지LG,신정마을9단지LG,41465,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,수지구청,5,신정마을1단지주공,신정마을1단지주공,41465,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,인덕원,1,동편마을3단지,동편마을(관양휴먼시아3단지),41173,2012.0,1042.0,20.0,인덕원,해오름초,관양중,60.0,핵심,조건충족,전용 74~84㎡·2012년식. 역거리 20분으로 상한선이지만 가격/연식 균형이 좋음.,https://zippoom.com/%EB%B6%80%EB%8F%99%EC%82%B0/%EA%B2%BD%EA%B8%B0-%EC%95%88%EC%96%91%EC%8B%9C-%EB%8F%99%EC%95%88%EA%B5%AC-%EA%B4%80%EC%96%91%EB%8F%99-%EB%8F%99%ED%8E%B8%EB%A7%88%EC%9D%843%EB%8B%A8%EC%A7%80/2v44a6,기초검증
경기남부,인덕원,2,인덕원대우,인덕원대우,41173,2001.0,1996.0,13.0,인덕원,벌말초,인덕원중,58.0,핵심,조건충족,"전용 84.96㎡·1,996세대·인덕원역 도보권. 현재 TARGET권으로 핵심 비교대상.",https://www.aptrank.com/apt_detail.php?aptnameuid=15882,기초검증
경기남부,인덕원,3,인덕원마을삼성,인덕원마을(삼성),41173,1998.0,1314.0,6.0,인덕원,인덕원초,인덕원중,55.0,관찰,가격경계,역 접근은 매우 좋지만 전용 84.93㎡는 14억 거래도 있어 MAX 초과 가능성 큼.,https://realty.daangn.com/complexes/15077022,기초검증
경기남부,철산,1,철산주공12단지,철산주공12단지,41210,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,철산,2,철산래미안자이,철산래미안자이,41210,2009.0,2072.0,13.0,철산,철산초,철산중,48.0,보류,가격초과,"전용 84㎡·2,072세대·상품성 우수. 84㎡ 매물/시세가 현재 MAX를 넘어 예산 관찰용.",https://zippoom.com/%EB%B6%80%EB%8F%99%EC%82%B0/%EA%B2%BD%EA%B8%B0-%EA%B4%91%EB%AA%85%EC%8B%9C-%EC%B2%A0%EC%82%B0%EB%8F%99-%EB%9E%98%EB%AF%B8%EC%95%88%EC%9E%90%EC%9D%B4/x5uwew,기초검증
경기남부,철산,3,철산자이더헤리티지,철산자이더헤리티지,41210,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,철산,4,철산센트럴푸르지오,철산센트럴푸르지오,41210,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,철산,5,철산푸르지오하늘채,철산푸르지오하늘채,41210,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,범계,1,목련2단지대우선경,목련2단지대우선경,41173,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,범계,2,목련3단지우성,목련3단지우성,41173,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,범계,3,무궁화효성,무궁화효성,41173,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,범계,4,샛별한양4단지,샛별한양4단지,41173,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,범계,5,목련우성5단지,목련우성5단지,41173,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,광명사거리,1,광명한진타운,광명한진타운,41210,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,광명사거리,2,광명해모로이연,광명해모로이연,41210,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,광명사거리,3,광명아크포레자이위브,광명아크포레자이위브,41210,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,광명사거리,4,광명푸르지오센트베르,광명푸르지오센트베르,41210,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,광명사거리,5,광명호반써밋그랜드에비뉴,광명호반써밋그랜드에비뉴,41210,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,미사,1,미사강변센트럴자이,미사강변센트럴자이,41450,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,미사,2,미사강변푸르지오,미사강변푸르지오,41450,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
경기남부,미사,3,미사강변리버뷰자이,미사강변리버뷰자이,41450,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
